id,product_name,brand_name,short_description,original_price,price_after_voucher,discount_rate,discount_price,quantity_sold,rating_average,review_count,warranty_info,return_policy,url_img,date
273232944,Máy tính bảng Masstel Tab 10.4 - Hàng chính hãng,Masstel,"Thiết kế hiện đại với kiểu dáng sang trọngMasstel Tab 10.4 sở hữu thiết kế phẳng, tối giản dù có mức giá rẻ nhưng được chế tác từ kim loại một cách cứng cáp, sang trọng và tinh tế với độ bền cao.Mặ...",4990000,4990000,0,0,7,5.0,2,12 Tháng,Đổi trả miễn phí trong 30 ngày,https://salt.tikicdn.com/ts/product/4a/70/de/6ee12684f659242e380a82963856e9fe.png,2024-11-29
272222033,Máy đọc sách Boox Palma - Hàng Chính Hãng,Onyx Boox,"BOOX PALMAGiải phóng sức mạnh của Máy đọc sách di độngVỚI PALMAThiết bị máy đọc sách đầu tiên của Boox được thiết kế với kích thước bằng điện thoại, sử dụng màn hình E-ink với hiệu suất tiên tiến,...",8590000,7290000,15,1300000,53,4.8,13,12 Tháng,Đổi trả miễn phí trong 30 ngày,https://salt.tikicdn.com/ts/product/5c/39/8f/47a8209e6f2ec87da7a9d074610c834d.png,2024-11-29
276119719,Điện thoại Xiaomi Poco M6 Pro - Hàng chính hãng,Xiaomi,"Màn hình: AMOLED 6.67"", Full HD+, 120Hz, độ sáng tối đa 1300nitsHệ điều hành: MIUI 14Camera sau: Chính 64MP + Siêu rộng 8MP + Macro 2MPCamera trước: 16MP, f2.45Chipset: MediaTek Helio G99-UltraR...",6490000,6490000,0,0,0,0.0,0,No warranty info,No return policy,https://salt.tikicdn.com/media/catalog/product/f5/15/2228f38cf84d1b8451bb49e2c4537081.png,2024-11-29
270707514,Máy Đọc Sách BOOX Tab Mini C - Hàng Chính Hãng,Onyx Boox,"Hiệu năng tuyệt vời trong một thiết kế nhỏ gọnMáy Đọc Sách BOOX Tab Mini C chỉ đơn giản là nâng trải nghiệm đọc và ghi chú lên một cấp độ hoàn toàn mới với công nghệ màn hình màu tiên tiến nhất, phần...",12990000,11990000,8,1000000,27,5.0,1,12 Tháng,Đổi trả miễn phí trong 30 ngày,https://salt.tikicdn.com/ts/product/0f/da/86/05f05f4b1982852b68c583743006642f.jpg,2024-11-29
276132850,Điện thoại Nokia HMD 105 4G - Hàng Chính Hãng,Nokia,"Nokia HMD 105 4G - Công nghệ hiện đại trong thiết kế kinh điểnNokia HMD 105 4G là một sản phẩm điện thoại cơ bản nhưng mạnh mẽ, sở hữu sự bền bỉ vượt trội và mang đến nhiều tiện lợi cho người dùng. Đ...",639000,639000,0,0,3,5.0,2,12 Tháng,Đổi trả miễn phí trong 30 ngày,https://salt.tikicdn.com/ts/product/ca/85/b5/2b1ebd6258dbb3520d04b9e449acbbd3.jpg,2024-11-29
275295006,Máy tính bảng cho trẻ chống sốc 10.1 inch TEKKIN TI-8010 cpu 4 nhân 4gb 64gb - hàng nhập khẩu,TEKKIN,"       Các tính năng:   1. Tải xuống hàng trăm ứng dụng giáo dục sẽ hỗ trợ việc học Khoa học Toán học, đọc lịch sử và hơn thế nữa của con bạn, Hãy sở hữu cho con bạn chiếc máy tính bảng này vì nó...",1599000,1599000,0,0,3,5.0,1,12 Tháng,Đổi trả miễn phí trong 30 ngày,https://salt.tikicdn.com/ts/product/ba/32/e4/6af945ef4bfd1a3d1748e1274294b843.jpeg,2024-11-29
276079498,Điện thoại OPPO A3x 4GB/64GB - Hàng Chính Hãng,OPPO,"       OPPO A3x 4GB/64GB không chỉ sở hữu thiết kế bền bỉ mà còn nổi bật với màn hình sáng rực rỡ, cùng sự mạnh mẽ từ chip Snapdragon đời mới. Với pin dung lượng 5100 mAh, khả năng kháng nước và s...",3490000,3390000,3,100000,2,5.0,1,1 Năm,Đổi trả miễn phí trong 30 ngày,https://salt.tikicdn.com/ts/product/cd/08/27/9d31ddad14c11206f2a3f8138aa5855a.jpg,2024-11-29
276246838,Điện thoại HMD 105 4G - Hàng chính hãng,Nokia,"Màn hình: QQVGA 2.4 inchThiết kế trẻ trung, đa dạng màu sắc, mặt lưng vân chống bám, cầm nắm dễ dàngBàn phím to, âm lượng lớn, giao diện trực quan, dễ sử dụng,Cuộc gọi chất lượng cao chuẩn HD VoLT...",849000,749000,12,100000,2,5.0,2,Xem chi tiết,Đổi trả miễn phí trong 30 ngày,https://salt.tikicdn.com/ts/product/67/13/ef/2f475199960f968d47c681780f3423aa.jpg,2024-11-29
270512785,Điện thoại Nokia 105 4G Pro - Hàng chính hãng,Nokia,"Màn hình: IPS LCD 1.77''Danh bạ: 2000 sốRadio FM: FM không cần tai ngheMạng di động: Hỗ trợ 4GGiao diện trực quan, dễ sử dụngBàn phím rời với độ đàn hồi tốtCổng kết nối/sạc: Micr...",849000,749000,12,100000,29,5.0,4,12 Tháng,Đổi trả miễn phí trong 30 ngày,https://salt.tikicdn.com/ts/product/17/b7/5f/97edc2278d7b49c1a25af18c08e0cf64.jpg,2024-11-29
181452535,"Điện thoại Itel Magic X Pro 4G ,Kết nối WIFI,Chia sẻ WIFI cho máy khác - Hàng chính hãng",Itel,Thắng thao mobile cam kết️Hàng chính hãng mới 100%️Bảo hành 12 tháng chính hãngTHÔNG SỐ KỸ THUẬT️Số khe SIM :2 Micro SIM️Bộ nhớ trong :128MB️Mạng di động : 4G️Độ phân giải camera:0.3MP️Vi xử lý:USM91...,790000,669000,15,121000,149,4.3,30,12 Tháng,Đổi trả miễn phí trong 30 ngày,https://salt.tikicdn.com/ts/product/27/06/cf/fe27f98370126ef93aa9284afb3e4714.jpg,2024-11-29
