id,sku,short_description,price,list_price,price_usd,discount,discount_rate,review_count,order_count,inventory_status,is_visible,stock_item_qty,stock_item_max_sale_qty,product_name,brand_id,brand_name
279073981,4104501913441,"Xiaomi Redmi Note 15 5G (6GB/128GB) là smartphone tầm trung hỗ trợ 5G, mang đến trải nghiệm vượt trội trong tầm giá với màn hình sắc nét, hiệu năng ổn định, pin dùng lâu và camera chất lượng. Máy ph...",6299000,7490000,,1191000,16,0,,available,,1000,1000,,25422,Xiaomi
279073856,2644408624468," Xiaomi Redmi Note 15 (6GB/128GB) là smartphone tầm trung nổi bật với màn hình AMOLED lớn, hiệu năng ổn định, pin dung lượng cao và camera độ phân giải ấn tượng, đáp ứng tốt nhu cầu học tập, làm vi...",5990000,5990000,,0,0,0,,available,,1000,1000,,25422,Xiaomi
278994141,7054922652322,"Màn hình lớn 11"" hiển thị rõ nétKết nối Wifi tiện lợi cho học online và xem phimHiệu năng ổn định đáp ứng tác vụ cơ bảnPin dung lượng lớn dùng cả ngàyHỗ trợ nhiều ứng dụng học tập và giải tríThi...",4949000,5200000,,251000,5,0,,available,,1000,1000,,25422,Xiaomi
278905470,5965749900569,Realme C75X - Lựa chọn đáng giá trong phân khúc tầm trungRealme C75X là một trong những chiếc Smartphone nổi bật nhất trong phân khúc tầm trung. Sản phẩm hứa hẹn mang đến trải nghiệm vượt trên mong đ...,4090000,5490000,,1400000,26,0,,available,,1000,1000,,247549,Realme
278903685,1060564800117,"Màn hình 8.7 inch sắc nétRAM 4GB, đa nhiệm mượt màBộ nhớ 128GB, lưu trữ thoải máiKết nối Wifi ổn địnhChip xử lý hiệu quảPin dung lượng lớn, dùng lâuThiết kế kim loại nguyên khối...",3579000,3920000,,341000,9,0,,available,,1000,1000,,25422,Xiaomi
278901925,4842262725458,...,35990000,39990000,,4000000,10,0,,available,,1000,1000,,17827,Apple
278884149,5221633044190,"Màn hình: 6.67 inch IPS LCD, HD+, tần số quét 90 HzChipset: Qualcomm Snapdragon 6s Gen 1, CPU 8 nhânRAM: 3 GB LPDDR4X (hỗ trợ mở rộng RAM ảo)Bộ nhớ trong: 64 GB (hỗ trợ thẻ nhớ microSDC...",2650000,2650000,,0,0,0,,available,,1000,1000,,247549,Realme
278843825,1908225799765,"Điện Thoại Xiaomi Redmi 15 6GB/128GB - Hàng Chính HãngBộ sản phẩm bao gồm: Pin, sạc, cáp USB kiểu C, ốp lưng, hướng dẫn, cây tháo sim.Màn hình IPS LCD cho trải nghiệm mượt mà- Redmi 15 được trang ...",4039000,4790000,,751000,16,0,,available,,1000,1000,,25422,Xiaomi
278834233,2564357973622,"Điện Thoại Xiaomi Redmi Note 14 8GB/256GB - Hàng Chính HãngBộ sản phẩm bao gồm: Pin, sạc, cáp USB kiểu C, ốp lưng, hướng dẫn, cây tháo sim.Màn hình AMOLED sắc nét, hiển thị chân thực- Trang bị tấm...",5149000,6190000,,1041000,17,0,,available,,1000,1000,,25422,Xiaomi
278831485,8441593367490,"Màn hình IPS LCD 11.2 inch độ phân giải 3.2K (2136×3200), tần số quét 144Hz hiển thị siêu mượtVi xử lý Snapdragon 7+ Gen 3 (4nm) mạnh mẽ, hiệu năng ổn địnhRAM 8GB + ROM 256GB, đa nhiệm mượt v...",11290000,11290000,,0,0,0,,available,,1000,1000,,25422,Xiaomi
278730376,8376077308545,"Màn hình LCD 8.7 inch, độ phân giải 1340×800, tần số quét 90Hz cho hiển thị mượt mà và sắc nétChip MediaTek Helio G99 mang lại hiệu năng ổn định, xử lý tốt các tác vụ học tập và giải trí hàng ng...",3349000,3990000,,641000,16,0,,available,,1000,1000,,18802,Samsung
278665998,6777183324764,"Điện Thoại Xiaomi Redmi 15 8GB/128GB - Hàng Chính HãngBộ sản phẩm bao gồm: Pin, sạc, cáp USB kiểu C, ốp lưng, hướng dẫn, cây tháo sim.Màn hình 144Hz giúp mọi trải nghiệm mượt mà- Trang bị màn hình...",4259000,5190000,,931000,18,0,,available,,1000,1000,,25422,Xiaomi
278635796,7768869747546,"Điện Thoại Samsung Galaxy A17 8GB/128GB - Hàng Chính HãngBộ sản phẩm bao gồm: Thân máy, cáp dữ liệu, tài liệu hướng dẫn, dụng cụ lấy sim.Màn hình Super AMOLED 6.7 inch rực rỡ và sắc nét- Trang bị ...",4469000,5190000,,721000,14,0,,available,,1000,1000,,18802,Samsung
278592403,1730228293309,"Màn hình: 6.7 inch IPS LCD, HD+Chipset: MediaTek Helio G99, CPU 8 nhânRAM: 4GBBộ nhớ trong: 64GBCamera sau: 50MP (chính) + 2MP (phụ)Camera trước: 8MPHệ điều hành: Android 15SIM: 2 Nano SIM, hỗ...",3290000,3290000,,0,0,0,,available,,1000,1000,,18802,Samsung
278591094,3356575910903,"Màn hình: 6.7 inch IPS LCD, độ phân giải HD+Chipset: MediaTek Helio G99RAM: 4GBBộ nhớ trong: 128GBCamera sau: 50MPCamera trước: 8MPHệ điều hành: Android 15SIM: 2 Nano SIM, hỗ trợ 4G LTEPin: 5000mA...",3590000,3590000,,0,0,0,,available,,1000,1000,,18802,Samsung
277811118,4306488847618,"Điện Thoại Xiaomi Redmi Note 14 5G 8GB/256GB - Hàng Chính HãngBộ sản phẩm bao gồm: Bộ sạc, cáp USB Type-C, dụng cụ tháo sim, ốp bảo vệ, hướng dẫn sử dụng.Trải nghiệm hình ảnh sống động- Trang bị m...",5699000,7290000,,1591000,22,0,,available,,1000,1000,,25422,Xiaomi
277737595,9442022017695,"Điện Thoại Samsung Galaxy A06 5G 4GB/128GB - Hàng Chính HãngBộ sản phẩm bao gồm: Thân máy, cáp dữ liệu, tài liệu hướng dẫn, dụng cụ lấy sim.Màn hình sống động và thiết kế tinh tế- Sở hữu màn hình...",2699000,4490000,,1791000,40,6,,available,,1000,1000,,18802,Samsung
277646748,1238287657714,"Màn hình lớn 6.7 inch HD+ tấm nền PLS LCD hiển thị rõ nét, dễ nhìnTần số quét 60Hz cho thao tác cảm ứng ổn định, mượt màChip MediaTek Helio G85 xử lý mượt các tác vụ cơ bản và giải trí nhẹRAM 4GB ...",3490000,3490000,,0,0,1,,available,,1000,1000,,18802,Samsung
277607297,1305275968678,"Là chiếc điện thoại giá rẻ với thiết kế mỏng nhẹ, bền bỉ và hiệu suất mạnh mẽ. Viên pin 5500 mAh, màn hình sắc nét và camera chất lượng giúp đáp ứng tốt nhu cầu giải trí và làm việc suốt ngày. Đây là ...",3050000,3050000,,0,0,0,,available,,1000,1000,,52232,Vivo
277175955,5672461364938,"Điện Thoại Xiaomi Redmi A3 3GB/64GB - Hàng Chính HãngBộ sản phẩm gồm: Thân máy, sạc, cáp USB C, hướng dẫn, cây tháo sim.Màn hình lớn hỗ trợ tần số quét 90 Hz- Trang bị màn hình IPS LCD với kích th...",1949000,2490000,,541000,22,0,,available,,1000,1000,,25422,Xiaomi
