id,product_name,brand_name,original_price,price_after_voucher,discount_rate,discount_price,rating_average,review_count,warranty_info,return_policy,date,quantity_sold,quantity_sold_by_day,sale_by_day
274375122,Điện thoại Xiaomi Redmi Note 13 Pro 4G (8GB/128GB) - Hàng chính hãng,Xiaomi,7290000,7290000,0,0,0.0,0,18 Tháng,Đổi trả miễn phí trong 30 ngày,2024-11-26,0,0,0
274610380,Điện thoại Samsung Galaxy S24 8GB/256GB - Độc quyền Online - Hàng chính hãng,Samsung,22990000,22990000,0,0,0.0,0,No warranty info,No return policy,2024-11-26,0,0,0
274099409,Điện Thoại Xiaomi Redmi Note 13 8GB/128GB - Hàng Chính Hãng,Xiaomi,5290000,5290000,0,0,5.0,1,No warranty info,No return policy,2024-11-26,0,0,0
271954384,"Điện thoại OPPO A58 6GB/128GB , Sạc nhanh 33W - Hàng Chính Hãng",OPPO,4990000,3990000,20,1000000,5.0,1,12 Tháng,Đổi trả miễn phí trong 30 ngày,2024-11-26,2,0,0
275543355,Điện thoại Samsung Galaxy Z Flip6 12GB/512GB - Độc quyền online - Hàng chính hãng,Samsung,32990000,32990000,0,0,0.0,0,No warranty info,No return policy,2024-11-26,0,0,0
270814388,Điện thoại Tecno POVA 5 (8+8)/128GB - MediaTek Helio G99 - Sạc nhanh 45W - 6.8'' FHD+120HZ - Hàng Chính Hãng - BH 13 Tháng,Tecno,4490000,4490000,0,0,5.0,31,No warranty info,No return policy,2024-11-26,0,0,0
276306086,Galaxy Tab S6 Lite (2024) (LTE) - Hàng chính hãng,Samsung,8990000,8990000,0,0,0.0,0,No warranty info,No return policy,2024-11-26,0,0,0
249955152,Điện thoại Xiaomi Redmi Note 12 Pro 5G (8GB/256GB) - Hàng chính hãng,Xiaomi,9000000,9000000,0,0,0.0,0,1 Năm,Đổi trả miễn phí trong 30 ngày,2024-11-26,1,0,0
275773905,Điện thoại HONOR X5 Plus - Hàng Chính Hãng,Honor,2490000,2390000,4,100000,0.0,0,Xem chi tiết,Đổi trả miễn phí trong 30 ngày,2024-11-26,0,0,0
11802138,Điện thoại bàn Không Dây Lắp Sim Homephone Hp1002c,HP,1299000,1299000,0,0,3.8,12,12 tháng,Đổi trả miễn phí trong 30 ngày,2024-11-26,98,0,0
272850971,"Điện thoại Libero 5G III - 4/64GB Dimensity 700 ,Màn OLED ,Kháng nước IP57 - Hàng nhập khẩu nhật ",Tecno,2990000,2369000,21,621000,5.0,3,12 Tháng,Đổi trả miễn phí trong 30 ngày,2024-11-26,9,0,0
248005118,Điện Thoại Samsung Galaxy A34 5G (8GB/128GB) - Hàng Chính Hãng,Samsung,7164000,7164000,0,0,5.0,1,1 Năm,Đổi trả miễn phí trong 30 ngày,2024-11-26,1,0,0
274625942,Máy tính bảng Samsung Galaxy Tab S9 12GB_256GB - Hàng chính hãng,Samsung,24990000,24990000,0,0,0.0,0,No warranty info,No return policy,2024-11-26,0,0,0
215746882,Điện thoại OPPO Reno8T 4G - Hàng chính hãng,OPPO,8136000,8136000,0,0,0.0,0,1 Năm,Đổi trả miễn phí trong 30 ngày,2024-11-26,0,0,0
275776790,OPPO A60 256GB - Hàng Chính Hãng,OPPO,6490000,6165500,5,324500,0.0,0,Xem chi tiết,Đổi trả miễn phí trong 30 ngày,2024-11-26,0,0,0
274065746,"Điện thoại siêu bền Oukitel WP33 Pro 5G (Loa to 136 dB (5W) ,Pin 22000mAh,màn hình 6,6 inch FHD+,Ram 24GB(8+16),Rom 256GB, Camera 64MP,sạc nhanh 33W)- hàng chính hãng",Oukitel,8990000,8990000,0,0,0.0,0,12 Tháng,Đổi trả miễn phí trong 30 ngày,2024-11-26,0,0,0
248762051,Điện Thoại Samsung A34 5G 8GB/128GB - Hàng Chính Hãng,Samsung,7164000,7164000,0,0,0.0,0,1 Năm,Đổi trả miễn phí trong 30 ngày,2024-11-26,1,0,0
275335546,Máy tính bảng Samsung Galaxy Tab A9+ Wifi - Hàng chính hãng,Samsung,5990000,5990000,0,0,0.0,0,12 Tháng,Đổi trả miễn phí trong 30 ngày,2024-11-26,2,0,0
43924153,Máy đọc sách Kindle Oasis 3 (2019) - Amazon - Hàng nhập khẩu,Kindle,6690000,6690000,0,0,0.0,0,1 Năm,Đổi trả miễn phí trong 30 ngày,2024-11-26,0,0,0
274393574,Điện thoại Xiaomi Poco C65 - Hàng chính hãng,Xiaomi,3090000,2759000,11,331000,0.0,0,12 Tháng,Đổi trả miễn phí trong 30 ngày,2024-11-26,1,0,0
118486668,Máy đọc sách Kobo Elipsa - Hàng nhập khẩu,Kobo,12000000,12000000,0,0,5.0,1,12 Tháng,Đổi trả miễn phí trong 30 ngày,2024-11-26,2,0,0
91281318,Máy Đọc Sách Likebook P10 - Hàng chính hãng,Likebook,9090000,9090000,0,0,4.0,2,12 Tháng,Đổi trả miễn phí trong 30 ngày,2024-11-26,6,0,0
